f1 f2 x y z length
1 15 37902.02466 26372.77766 -5000 962.3467742
1 72 -1833.517426 35438.58301 -5000 267.2341353
1 193 47198.03893 6932.148556 -5000 173.2153467
1 203 16075.32776 36530.86061 -5000 455.1993928
1 208 22306.44354 -40645.69738 -5000 357.9778588
1 216 -46760.62051 -11088.73994 -5000 241.4191024
1 284 -18161.12813 45214.97533 -5000 217.326479
1 313 -39598.83537 26856.18423 -5000 1027.491409
1 340 9264.40107 40986.06688 -5000 260.5234659
1 365 46910.84274 25031.89579 -5000 112.1907843
1 383 -28385.05425 -47733.1405 -5000 340.2532537
1 387 16331.57876 25388.51862 -5000 210.4641924
1 423 -45238.24006 26510.53031 -5000 1103.596497
1 436 -10807.14875 -20112.76452 -5000 122.0662853
1 518 -11982.34943 -45203.50808 -5000 226.3702843
1 552 -46450.34535 18094.57673 -5000 1487.310389
1 596 -16491.13346 -7666.544804 -5000 917.0369721
1 661 28299.93169 5625.864421 -5000 1363.901996
1 687 -33128.17834 1849.322901 -5000 375.7816866
1 768 49081.24314 18634.65323 -5000 1105.781438
1 805 23567.61976 -40400.16151 -5000 1739.388074
1 1000 32191.51783 18368.50907 -5000 195.3143031
1 1094 49606.49727 -13069.8321 -5000 195.1074047
1 1127 26842.77857 -45608.18939 -5000 627.1160239
1 1162 33566.89681 41892.99559 -5000 210.1354811
1 1231 -18167.87328 -39059.22436 -5000 314.9765187
1 1268 32607.87467 39205.53837 -5000 237.2544315
1 1313 -44654.74846 -11508.37487 -5000 925.3370298
1 1339 13178.17316 -709.9754778 -5000 738.4699424
1 1401 32907.19774 16226.35019 -5000 693.1394188
1 1444 26102.68167 -46612.07915 -5000 50.73410171
1 1484 29099.12629 10806.82004 -5000 186.5842217
1 1488 5522.070488 -18072.0204 -5000 1525.360554
1 1563 45485.25729 -11054.14149 -5000 86.83145444
1 1614 35768.82743 -8691.127739 -5000 753.8006546
1 1683 -4614.735073 -6961.189902 -5000 1676.063911
1 1760 -22195.8682 7070.453606 -5000 142.006043
1 1848 -684.5967294 35474.4128 -5000 276.9965871
1 2109 -13107.86902 -41131.50601 -5000 643.6682801
1 -5 50000 0 -5000 100000
1 -4 0 50000 -5000 100000
1 -2 0 50000 -5000 100000
1 -3 -50000 0 -5000 100000
1 -6 0 -50000 -5000 100000
2 11 24831.64957 26346.5053 5000 182.1735056
2 80 -12441.38101 -35684.32916 5000 1076.283908
2 119 36399.91235 20407.87091 5000 673.6070567
2 180 7552.886054 36842.34705 5000 238.501517
2 197 -25607.28259 -27629.45292 5000 678.1099289
