f1 f2 x y z length
1 3 4094.502207 -295.9130229 -500 145.7671457
1 15 3787.051188 2638.718148 -500 1325.767712
1 20 -321.1128658 2134.483705 -500 623.9991629
1 24 4237.191582 835.833763 -500 420.3684411
1 27 -190.4022317 1123.523974 -500 189.6590871
1 32 -131.9363423 -1079.191691 -500 45.74045304
1 -5 5000 0 -500 10000
1 -4 0 5000 -500 10000
1 -2 0 5000 -500 10000
1 -3 -5000 0 -500 10000
1 -6 0 -5000 -500 10000
2 8 4984.337939 1090.427754 500 195.2154702
2 11 2483.07076 2635.260267 500 353.7707151
2 24 4314.482857 754.3274622 500 590.0203111
2 29 -62.9456754 -790.2239721 500 667.001092
2 32 -244.1825922 -1250.579134 500 997.5914397
2 -5 5000 0 500 10000
2 -4 0 5000 500 10000
2 -1 0 5000 500 10000
2 -3 -5000 0 500 10000
2 -6 0 -5000 500 10000
3 -2 4094.502207 -295.9130229 -500 145.7671457
8 -1 4984.337939 1090.427754 500 195.2154702
8 -5 5000 1019.075021 392.459627 188.1422647
10 -3 -5000 -3659.611994 -273.3464488 197.2741563
11 -1 2483.07076 2635.260267 500 353.7707151
15 -2 3787.051188 2638.718148 -500 1325.767712
20 -2 -321.1128658 2134.483705 -500 623.9991629
24 -1 4314.482857 754.3274622 500 590.0203111
24 -2 4237.191582 835.833763 -500 420.3684411
27 -2 -190.4022317 1123.523974 -500 189.6590871
29 -1 -62.9456754 -790.2239721 500 667.001092
32 -1 -244.1825922 -1250.579134 500 997.5914397
32 -2 -131.9363423 -1079.191691 -500 45.74045304
