nPolygons: 2148
4 {50000, 50000, -5000} {-50000, 50000, -5000} {-50000, -50000, -5000} {50000, -50000, -5000} 
4 {50000, 50000, 5000} {-50000, 50000, 5000} {-50000, -50000, 5000} {50000, -50000, 5000} 
8 {41165.9155927, -2940.4056927, -4148.9370505} {41163.9429913, -3013.64971254, -4193.53105987} {41145.4874148, -3034.83902097, -4274.5718456} {41121.3598898, -2991.56119455, -4344.58680663} {41105.6939887, -2909.16779963, -4362.56214643} {41107.6665916, -2835.92377549, -4317.96812887} {41126.1221664, -2814.73448049, -4236.92735638} {41150.2496891, -2858.01229136, -4166.91239665} 
8 {-27704.1215868, -8263.7759228, -2399.69414909} {-27706.3086708, -8114.40254929, -2335.49016968} {-27784.8377524, -7976.00945278, -2368.95471816} {-27893.707545, -7929.66544455, -2480.48470247} {-27969.1436191, -8002.51821914, -2604.74739422} {-27966.9565152, -8151.89160897, -2668.95135683} {-27888.4274531, -8290.28467128, -2635.48681677} {-27779.5576791, -8336.62867618, -2523.9568535} 
8 {24581.03475, -4223.3227605, -1927.98869357} {24670.9893188, -4125.22227326, -1722.20280516} {24894.5552434, -4063.62952035, -1642.90603087} {25120.770606, -4074.62470674, -1736.54934977} {25217.1215514, -4151.76700601, -1948.27779749} {25127.1669372, -4249.86749934, -2154.06368678} {24903.6010677, -4311.46023419, -2233.3604347} {24677.3857409, -4300.46505563, -2139.71714507} 
8 {14838.636592, 28935.8080618, -1112.11727554} {14837.1512443, 29000.2163414, -1166.0657214} {14801.9956375, 29076.5376167, -1166.52891999} {14753.7634531, 29120.0639095, -1113.23553382} {14720.708442, 29105.2981171, -1037.40409802} {14722.1937968, 29040.8898229, -983.455652628} {14757.3493965, 28964.5685699, -982.992460411} {14805.5815716, 28921.0422783, -1036.28582982} 
8 {-12879.6785964, -46289.5254887, -2188.13925431} {-12817.0699671, -46224.1405573, -2120.56437186} {-12826.1528195, -46118.9481352, -2080.39657484} {-12901.6065308, -46035.5685312, -2091.16561349} {-12999.2313595, -46022.8443789, -2146.56313971} {-13061.8399814, -46088.2293316, -2214.13802677} {-13052.7571284, -46193.4217249, -2254.30581091} {-12977.3034362, -46276.8013163, -2243.53677869} 
8 {49880.4976251, 10900.6747653, 4425.5887556} {49893.0737541, 10805.7028584, 4411.985992} {49905.0388475, 10748.6371856, 4334.76420866} {49909.3839146, 10762.9060455, 4239.15889318} {49903.563674, 10840.1509432, 4181.17432743} {49890.9875431, 10935.1228578, 4194.77710473} {49879.0224531, 10992.1885113, 4271.99887323} {49874.6773854, 10977.9196634, 4367.60417405} 
8 {22892.1043327, -48486.5540414, -473.773920939} {22878.5768615, -48498.4381478, -559.70317018} {22868.1308437, -48568.3118332, -611.824278608} {22866.8854166, -48655.2440333, -599.605398912} {22875.5701338, -48708.3110595, -530.204185785} {22889.0976069, -48696.4269397, -444.274927784} {22899.5436212, -48626.5532687, -392.153838616} {22900.7890496, -48539.6210837, -404.372706558} 
8 {-49955.631874, -36685.3741507, -2706.84169639} {-50000, -36647.5758261, -2736.28331368} {-50000, -36518.6571011, -2729.22096487} {-49986.8242936, -36494.8880142, -2718.56087447} {-49922.7770927, -36481.5566417, -2672.34132587} {-49868.3528433, -36527.9220488, -2636.22670884} {-49855.4325239, -36606.8239746, -2631.37246816} {-49891.584672, -36672.042763, -2660.62214611} 
8 {25012.596362, 26431.5522932, 4719.54442341} {24942.1354523, 26532.1036275, 4798.91447906} {24859.2469554, 26529.2958387, 4919.31602392} {24817.7427687, 26436.5241723, 5000} {24845.5563656, 26256.4864264, 5000} {24899.705047, 26179.2135047, 4939.00470076} {24982.5935215, 26182.0212929, 4818.60318854} {25029.354631, 26286.5434158, 4727.69977698} 
8 {4098.018551, 9546.73746454, 680.046953063} {4152.28426806, 9613.4571607, 586.723938843} {4188.14055981, 9734.29168147, 571.93145705} {4184.58329011, 9838.4577894, 644.334751007} {4143.69626157, 9864.93641258, 761.520960505} {4089.430539, 9798.21670035, 854.843978511} {4053.57425936, 9677.3822032, 869.636444801} {4057.13152116, 9573.21610092, 797.233173844} 
