nPolygons: 32
4 {5000, 5000, -500} {-5000, 5000, -500} {-5000, -5000, -500} {5000, -5000, -500} 
4 {5000, 5000, 500} {-5000, 5000, 500} {-5000, -5000, 500} {5000, -5000, 500} 
8 {4143.69128066, -308.097616822, -318.762411144} {4141.71867934, -381.341636666, -363.356420511} {4123.26310283, -402.530945088, -444.397206237} {4104.10208667, -368.161604291, -500} {4084.90232831, -223.664441522, -500} {4085.44227962, -203.615699609, -487.793489512} {4103.89785443, -182.426404611, -406.752717016} {4128.02537708, -225.704215477, -336.737757293} 
8 {-2651.15224619, -943.94356511, -147.695459844} {-2653.33933023, -794.570191592, -83.4914804339} {-2731.86841179, -656.177095087, -116.956028908} {-2840.73820437, -609.833086853, -228.486013217} {-2916.17427847, -682.685861448, -352.748704973} {-2913.98717458, -832.059251279, -416.952667577} {-2835.45811255, -970.452313582, -383.488127518} {-2726.58833852, -1016.79631849, -271.958164249} 
8 {2171.86441454, -454.532370442, -183.668784204} {2261.81898336, -356.431883208, 22.1171042073} {2485.38490794, -294.839130294, 101.413878491} {2711.60027054, -305.834316684, 7.77055959051} {2807.95121595, -382.976615959, -203.95788813} {2717.9966017, -481.077109284, -409.743777419} {2494.43073227, -542.669844137, -489.040525338} {2268.21540546, -531.674665579, -395.397235702} 
8 {1536.93132578, 2817.31027912, -144.832653828} {1535.44597808, 2881.71855869, -198.781099684} {1500.29037137, 2958.03983392, -199.244298275} {1452.05818689, 3001.56612679, -145.950912109} {1419.00317586, 2986.80033437, -70.119476308} {1420.48853061, 2922.39204014, -16.171030913} {1455.64413035, 2846.07078715, -15.707838696} {1503.87630541, 2802.54449559, -69.001208104} 
8 {-1234.16912069, -4748.95904975, -237.523180422} {-1171.56049137, -4683.57411838, -169.948297969} {-1180.64334376, -4578.38169623, -129.780500953} {-1256.09705508, -4495.00209224, -140.549539608} {-1353.72188382, -4482.27793994, -195.947065822} {-1416.33050568, -4547.66289259, -263.521952886} {-1407.24765274, -4652.85528597, -303.689737028} {-1331.7939605, -4736.23487737, -292.9207048} 
6 {4972.39576495, 1187.3021805, 500} {4996.28011266, 993.553328259, 500} {5000, 975.811897592, 475.992135939} {5000, 1062.33814522, 308.927117972} {4988.15995799, 1151.75129377, 321.733716132} {4976.19486798, 1208.81694726, 398.955484632} 
8 {2296.65082341, -4748.86474715, -21.9837685924} {2283.12335215, -4760.74885349, -107.913017833} {2272.67733441, -4830.62253895, -160.034126261} {2271.4319073, -4917.55473905, -147.815246565} {2280.11662449, -4970.62176524, -78.4140334382} {2293.64409755, -4958.73764547, 7.51522456341} {2304.09011185, -4888.86397441, 59.6363137311} {2305.33554021, -4801.93178941, 47.4174457894} 
6 {-5000, -3758.10139911, -278.741836724} {-5000, -3561.12258835, -267.951060841} {-4977.49305439, -3556.43778602, -251.708963565} {-4923.06880502, -3602.80319312, -215.594346532} {-4910.14848555, -3681.70511894, -210.740105855} {-4946.30063366, -3746.92390737, -239.989783808} 
6 {2583.76814607, 2711.45958289, 337.480779937} {2513.30723642, 2812.01091718, 416.850835589} {2456.06453851, 2810.07186157, 500} {2510.07698141, 2460.44867168, 500} {2553.76530558, 2461.92858259, 436.539545072} {2600.52641514, 2566.45070553, 345.636133511} 
8 {389.2468827, 811.484218717, 31.3413978133} {443.512599758, 878.20391487, -61.9816164072} {479.36889151, 999.03843564, -76.7740982001} {475.811621804, 1103.20454358, -4.37080424282} {434.924593263, 1129.68316676, 112.815405255} {380.658870698, 1062.96345452, 206.138423261} {344.802591061, 942.128957379, 220.930889551} {348.359852855, 837.962855099, 148.527618594} 
